Country,Clicks,Impressions,CTR,Position
Israel,6,151,3.97%,24.07
United States,1,15,6.67%,13.87
Spain,1,2,50%,7.5
United Kingdom,0,6,0%,23
Vietnam,0,4,0%,15.5
France,0,4,0%,21.25
Indonesia,0,4,0%,42.25
Poland,0,3,0%,7.33
India,0,3,0%,30.33
Philippines,0,3,0%,51.67
Tunisia,0,2,0%,3
Iran,0,2,0%,5
Hungary,0,2,0%,7.5
Mexico,0,2,0%,7.5
Canada,0,2,0%,24
Turkey,0,2,0%,28
Nicaragua,0,2,0%,31
Burkina Faso,0,1,0%,2
Saudi Arabia,0,1,0%,2
Zimbabwe,0,1,0%,2
Netherlands,0,1,0%,3
Georgia,0,1,0%,5
Myanmar (Burma),0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Ecuador,0,1,0%,7
Bolivia,0,1,0%,8
Nepal,0,1,0%,8
Uzbekistan,0,1,0%,8
Chile,0,1,0%,9
Colombia,0,1,0%,9
Germany,0,1,0%,9
Palestine,0,1,0%,9
Argentina,0,1,0%,10
Belgium,0,1,0%,10
Lebanon,0,1,0%,10
Pakistan,0,1,0%,10
El Salvador,0,1,0%,10
Australia,0,1,0%,11
Jordan,0,1,0%,58
